"subject","trial_num","step2resp","step1resp","step2state","reward"
"EEGTDPRJ04E989C4",34,1,2,2,0
"EEGTDPRJ04E989C4",35,2,1,3,0
"EEGTDPRJ04E989C4",36,2,2,3,0
"EEGTDPRJ04E989C4",37,2,2,3,1
"EEGTDPRJ04E989C4",38,1,1,2,0
"EEGTDPRJ04E989C4",39,1,1,2,0
"EEGTDPRJ04E989C4",40,1,1,2,1
"EEGTDPRJ04E989C4",41,2,2,3,1
"EEGTDPRJ04E989C4",42,1,1,2,1
"EEGTDPRJ04E989C4",43,2,2,3,0
"EEGTDPRJ04E989C4",44,1,1,2,1
"EEGTDPRJ04E989C4",45,2,1,2,1
"EEGTDPRJ04E989C4",46,1,1,2,1
"EEGTDPRJ04E989C4",47,2,2,3,1
"EEGTDPRJ04E989C4",48,1,1,2,1
"EEGTDPRJ04E989C4",49,2,2,3,0
"EEGTDPRJ04E989C4",50,1,1,2,1
"EEGTDPRJ04E989C4",51,1,1,2,0
"EEGTDPRJ04E989C4",52,NA,NA,NA,NA
"EEGTDPRJ04E989C4",53,1,1,2,1
"EEGTDPRJ04E989C4",54,1,2,3,1
"EEGTDPRJ04E989C4",55,2,2,3,1
"EEGTDPRJ04E989C4",56,1,2,2,1
"EEGTDPRJ04E989C4",57,2,2,3,1
"EEGTDPRJ04E989C4",58,1,1,2,0
"EEGTDPRJ04E989C4",59,1,1,2,1
"EEGTDPRJ04E989C4",60,1,2,2,0
"EEGTDPRJ04E989C4",61,2,2,2,1
"EEGTDPRJ04E989C4",62,2,2,2,0
"EEGTDPRJ04E989C4",63,1,2,2,0
"EEGTDPRJ04E989C4",64,2,1,3,0
"EEGTDPRJ04E989C4",65,1,1,2,1
"EEGTDPRJ04E989C4",66,2,2,3,1
"EEGTDPRJ04E989C4",67,NA,1,3,NA
"EEGTDPRJ04E989C4",68,1,1,2,1
"EEGTDPRJ04E989C4",69,1,1,2,1
"EEGTDPRJ04E989C4",70,1,1,2,1
"EEGTDPRJ04E989C4",71,1,1,3,1
"EEGTDPRJ04E989C4",72,2,1,3,0
"EEGTDPRJ04E989C4",73,1,1,2,1
"EEGTDPRJ04E989C4",74,1,1,2,0
"EEGTDPRJ04E989C4",75,2,2,3,0
"EEGTDPRJ04E989C4",76,1,1,2,0
"EEGTDPRJ04E989C4",77,1,1,2,0
"EEGTDPRJ04E989C4",78,2,1,3,1
"EEGTDPRJ04E989C4",79,2,2,3,0
"EEGTDPRJ04E989C4",80,1,2,2,0
"EEGTDPRJ04E989C4",81,1,1,2,1
"EEGTDPRJ04E989C4",82,1,1,2,1
"EEGTDPRJ04E989C4",83,1,1,2,1
"EEGTDPRJ04E989C4",84,2,2,3,1
"EEGTDPRJ04E989C4",85,2,2,2,0
"EEGTDPRJ04E989C4",86,1,2,3,0
"EEGTDPRJ04E989C4",87,2,2,3,0
"EEGTDPRJ04E989C4",88,1,2,2,1
"EEGTDPRJ04E989C4",89,1,1,2,1
"EEGTDPRJ04E989C4",90,2,1,2,1
"EEGTDPRJ04E989C4",91,1,2,3,0
"EEGTDPRJ04E989C4",92,2,1,2,1
"EEGTDPRJ04E989C4",93,2,2,3,0
"EEGTDPRJ04E989C4",94,1,1,2,0
"EEGTDPRJ04E989C4",95,2,2,3,1
"EEGTDPRJ04E989C4",96,NA,NA,NA,NA
"EEGTDPRJ04E989C4",97,1,1,2,1
"EEGTDPRJ04E989C4",98,2,1,3,1
"EEGTDPRJ04E989C4",99,1,1,2,1
"EEGTDPRJ04E989C4",100,2,1,2,1
"EEGTDPRJ04E989C4",101,1,2,3,0
"EEGTDPRJ04E989C4",102,1,1,2,1
"EEGTDPRJ04E989C4",103,2,1,2,0
"EEGTDPRJ04E989C4",104,NA,1,3,NA
"EEGTDPRJ04E989C4",105,1,2,3,1
"EEGTDPRJ04E989C4",106,2,2,2,1
"EEGTDPRJ04E989C4",107,2,2,3,0
"EEGTDPRJ04E989C4",108,1,1,2,1
"EEGTDPRJ04E989C4",109,2,1,2,1
"EEGTDPRJ04E989C4",110,1,2,3,0
"EEGTDPRJ04E989C4",111,2,1,3,0
"EEGTDPRJ04E989C4",112,1,1,2,0
"EEGTDPRJ04E989C4",113,2,2,3,1
"EEGTDPRJ04E989C4",114,2,1,2,0
